stage 1: crash gate, 155-mixnet2s vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    250 games  .... llr -0.74 [-2.94, 2.94] after 125 pairs, elo -2.8 +/- 36.6
    252 games  .... llr -0.82 [-2.94, 2.94] after 126 pairs, elo -4.1 +/- 36.4
    254 games  .... llr -0.91 [-2.94, 2.94] after 127 pairs, elo -5.5 +/- 36.2
    256 games  .... llr -0.92 [-2.94, 2.94] after 128 pairs, elo -5.4 +/- 35.9
    259 games  .... llr -1.01 [-2.94, 2.94] after 129 pairs, elo -6.7 +/- 35.7
    260 games  .... llr -1.16 [-2.94, 2.94] after 130 pairs, elo -9.4 +/- 35.8
    262 games  .... llr -0.99 [-2.94, 2.94] after 131 pairs, elo -6.6 +/- 35.9
    264 games  .... llr -1.00 [-2.94, 2.94] after 132 pairs, elo -6.6 +/- 35.6
    266 games  .... llr -1.02 [-2.94, 2.94] after 133 pairs, elo -6.5 +/- 35.4
    268 games  .... llr -1.17 [-2.94, 2.94] after 134 pairs, elo -9.1 +/- 35.5
    270 games  .... llr -1.00 [-2.94, 2.94] after 135 pairs, elo -6.4 +/- 35.6
    272 games  .... llr -1.01 [-2.94, 2.94] after 136 pairs, elo -6.4 +/- 35.3
    274 games  .... llr -1.02 [-2.94, 2.94] after 137 pairs, elo -6.3 +/- 35.1
    276 games  .... llr -1.17 [-2.94, 2.94] after 138 pairs, elo -8.8 +/- 35.1
    279 games  .... llr -1.19 [-2.94, 2.94] after 139 pairs, elo -8.8 +/- 34.9
    280 games  .... llr -1.20 [-2.94, 2.94] after 140 pairs, elo -8.7 +/- 34.6
    282 games  .... llr -1.21 [-2.94, 2.94] after 141 pairs, elo -8.6 +/- 34.4
    284 games  .... llr -1.23 [-2.94, 2.94] after 142 pairs, elo -8.6 +/- 34.1
    286 games  .... llr -1.24 [-2.94, 2.94] after 143 pairs, elo -8.5 +/- 33.9
    288 games  .... llr -1.16 [-2.94, 2.94] after 144 pairs, elo -7.2 +/- 33.8
    290 games  .... llr -1.18 [-2.94, 2.94] after 145 pairs, elo -7.2 +/- 33.5
    292 games  .... llr -1.19 [-2.94, 2.94] after 146 pairs, elo -7.1 +/- 33.3
    294 games  .... llr -1.34 [-2.94, 2.94] after 147 pairs, elo -9.5 +/- 33.4
    296 games  .... llr -1.36 [-2.94, 2.94] after 148 pairs, elo -9.4 +/- 33.1
    299 games  .... llr -1.45 [-2.94, 2.94] after 149 pairs, elo -10.5 +/- 33.0
    301 games  .... llr -1.37 [-2.94, 2.94] after 150 pairs, elo -9.3 +/- 32.9
    302 games  .... llr -1.30 [-2.94, 2.94] after 151 pairs, elo -8.1 +/- 32.7
    304 games  .... llr -1.22 [-2.94, 2.94] after 152 pairs, elo -6.9 +/- 32.6
    306 games  .... llr -1.23 [-2.94, 2.94] after 153 pairs, elo -6.8 +/- 32.4
    308 games  .... llr -1.16 [-2.94, 2.94] after 154 pairs, elo -5.6 +/- 32.3
    310 games  .... llr -1.08 [-2.94, 2.94] after 155 pairs, elo -4.5 +/- 32.1
    312 games  .... llr -1.09 [-2.94, 2.94] after 156 pairs, elo -4.5 +/- 31.9
    314 games  .... llr -1.01 [-2.94, 2.94] after 157 pairs, elo -3.3 +/- 31.8
    316 games  .... llr -1.02 [-2.94, 2.94] after 158 pairs, elo -3.3 +/- 31.6
    318 games  .... llr -1.04 [-2.94, 2.94] after 159 pairs, elo -3.3 +/- 31.4
    320 games  .... llr -1.05 [-2.94, 2.94] after 160 pairs, elo -3.3 +/- 31.2
    322 games  .... llr -1.06 [-2.94, 2.94] after 161 pairs, elo -3.2 +/- 31.0
    324 games  .... llr -0.98 [-2.94, 2.94] after 162 pairs, elo -2.1 +/- 30.9
    326 games  .... llr -0.99 [-2.94, 2.94] after 163 pairs, elo -2.1 +/- 30.7
    328 games  .... llr -1.00 [-2.94, 2.94] after 164 pairs, elo -2.1 +/- 30.5
    330 games  .... llr -1.10 [-2.94, 2.94] after 165 pairs, elo -3.2 +/- 30.4
    332 games  .... llr -1.11 [-2.94, 2.94] after 166 pairs, elo -3.1 +/- 30.2
    334 games  .... llr -1.12 [-2.94, 2.94] after 167 pairs, elo -3.1 +/- 30.0
    336 games  .... llr -1.13 [-2.94, 2.94] after 168 pairs, elo -3.1 +/- 29.9
    338 games  .... llr -1.14 [-2.94, 2.94] after 169 pairs, elo -3.1 +/- 29.7
    340 games  .... llr -1.16 [-2.94, 2.94] after 170 pairs, elo -3.1 +/- 29.5
    342 games  .... llr -1.17 [-2.94, 2.94] after 171 pairs, elo -3.0 +/- 29.3
    344 games  .... llr -1.18 [-2.94, 2.94] after 172 pairs, elo -3.0 +/- 29.2
    346 games  .... llr -1.19 [-2.94, 2.94] after 173 pairs, elo -3.0 +/- 29.0
