stage 1: crash gate, 160-v95 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
    324 games  .... llr -0.26 [-2.94, 2.94] after 162 pairs, elo +6.4 +/- 32.4
    327 games  .... llr -0.11 [-2.94, 2.94] after 163 pairs, elo +8.5 +/- 32.5
    329 games  .... llr -0.19 [-2.94, 2.94] after 164 pairs, elo +7.4 +/- 32.3
    330 games  .... llr -0.20 [-2.94, 2.94] after 165 pairs, elo +7.4 +/- 32.1
    332 games  .... llr -0.36 [-2.94, 2.94] after 166 pairs, elo +5.2 +/- 32.2
    334 games  .... llr -0.36 [-2.94, 2.94] after 167 pairs, elo +5.2 +/- 32.0
    337 games  .... llr -0.29 [-2.94, 2.94] after 168 pairs, elo +6.2 +/- 31.9
    338 games  .... llr -0.29 [-2.94, 2.94] after 169 pairs, elo +6.2 +/- 31.7
    340 games  .... llr -0.14 [-2.94, 2.94] after 170 pairs, elo +8.2 +/- 31.8
    343 games  .... llr -0.14 [-2.94, 2.94] after 171 pairs, elo +8.1 +/- 31.6
    344 games  .... llr -0.23 [-2.94, 2.94] after 172 pairs, elo +7.1 +/- 31.5
    346 games  .... llr -0.23 [-2.94, 2.94] after 173 pairs, elo +7.0 +/- 31.3
    348 games  .... llr -0.16 [-2.94, 2.94] after 174 pairs, elo +8.0 +/- 31.2
    350 games  .... llr -0.08 [-2.94, 2.94] after 175 pairs, elo +8.9 +/- 31.1
    352 games  .... llr -0.17 [-2.94, 2.94] after 176 pairs, elo +7.9 +/- 30.9
    354 games  .... llr -0.09 [-2.94, 2.94] after 177 pairs, elo +8.8 +/- 30.8
    356 games  .... llr -0.02 [-2.94, 2.94] after 178 pairs, elo +9.8 +/- 30.7
    358 games  .... llr -0.02 [-2.94, 2.94] after 179 pairs, elo +9.7 +/- 30.5
    360 games  .... llr -0.03 [-2.94, 2.94] after 180 pairs, elo +9.7 +/- 30.4
    362 games  .... llr +0.13 [-2.94, 2.94] after 181 pairs, elo +11.5 +/- 30.5
    364 games  .... llr -0.04 [-2.94, 2.94] after 182 pairs, elo +9.5 +/- 30.5
    366 games  .... llr -0.12 [-2.94, 2.94] after 183 pairs, elo +8.5 +/- 30.4
    368 games  .... llr -0.13 [-2.94, 2.94] after 184 pairs, elo +8.5 +/- 30.2
    370 games  .... llr +0.03 [-2.94, 2.94] after 185 pairs, elo +10.3 +/- 30.3
    372 games  .... llr -0.13 [-2.94, 2.94] after 186 pairs, elo +8.4 +/- 30.4
    374 games  .... llr -0.06 [-2.94, 2.94] after 187 pairs, elo +9.3 +/- 30.2
    377 games  .... llr -0.22 [-2.94, 2.94] after 188 pairs, elo +7.4 +/- 30.3
    378 games  .... llr -0.22 [-2.94, 2.94] after 189 pairs, elo +7.4 +/- 30.1
    380 games  .... llr -0.31 [-2.94, 2.94] after 190 pairs, elo +6.4 +/- 30.0
    382 games  .... llr -0.31 [-2.94, 2.94] after 191 pairs, elo +6.4 +/- 29.9
    385 games  .... llr -0.16 [-2.94, 2.94] after 192 pairs, elo +8.1 +/- 29.9
    386 games  .... llr -0.17 [-2.94, 2.94] after 193 pairs, elo +8.1 +/- 29.8
    388 games  .... llr -0.17 [-2.94, 2.94] after 194 pairs, elo +8.1 +/- 29.6
    390 games  .... llr -0.25 [-2.94, 2.94] after 195 pairs, elo +7.1 +/- 29.5
    392 games  .... llr -0.26 [-2.94, 2.94] after 196 pairs, elo +7.1 +/- 29.4
    394 games  .... llr -0.27 [-2.94, 2.94] after 197 pairs, elo +7.1 +/- 29.2
    397 games  .... llr -0.19 [-2.94, 2.94] after 198 pairs, elo +7.9 +/- 29.1
    399 games  .... llr -0.20 [-2.94, 2.94] after 199 pairs, elo +7.9 +/- 29.0
    400 games  .... llr -0.04 [-2.94, 2.94] after 200 pairs, elo +9.6 +/- 29.0
  checkpoint 400: +10 Elo, undecided -> 200 more
    402 games  .... llr -0.04 [-2.94, 2.94] after 201 pairs, elo +9.5 +/- 28.9
    404 games  .... llr -0.13 [-2.94, 2.94] after 202 pairs, elo +8.6 +/- 28.8
    406 games  .... llr -0.05 [-2.94, 2.94] after 203 pairs, elo +9.4 +/- 28.7
    408 games  .... llr -0.06 [-2.94, 2.94] after 204 pairs, elo +9.4 +/- 28.6
    410 games  .... llr +0.02 [-2.94, 2.94] after 205 pairs, elo +10.2 +/- 28.5
    412 games  .... llr +0.09 [-2.94, 2.94] after 206 pairs, elo +11.0 +/- 28.4
    414 games  .... llr +0.01 [-2.94, 2.94] after 207 pairs, elo +10.1 +/- 28.3
